symbol,aux,position,start_time,ss_interval,ss_lag,dss,dss_lag,dss_norm,dss_lag_norm,dss_distance,bpm
N,,18139,90.695,0.5149999999999864,0.5800000000000125,-0.06500000000002615,-0.004999999999981242,-0.10178564295134522,-0.007829664842378646,0.10208633974515255,29.126213592233782
N,,18247,91.235,0.5400000000000063,0.5149999999999864,0.025000000000019895,-0.06500000000002615,0.039148324212071255,-0.10178564295134522,0.10905461200532593,27.777777777777455
N,,18363,91.815,0.5799999999999983,0.5400000000000063,0.03999999999999204,0.025000000000019895,0.0626373187392517,0.039148324212071255,0.07386491039361015,25.862068965517317
N,,18478,92.39,0.5750000000000028,0.5799999999999983,-0.0049999999999954525,0.03999999999999204,-0.007829664842400899,0.0626373187392517,0.06312477604227155,26.086956521739
N,,18630,93.15,0.7600000000000051,0.5750000000000028,0.18500000000000227,-0.0049999999999954525,0.2896975991691003,-0.007829664842400899,0.2898033861359888,19.736842105263026
N,,18789,93.945,0.7949999999999875,0.7600000000000051,0.03499999999998238,0.18500000000000227,0.05480765389682855,0.2896975991691003,0.29483652740122834,18.867924528302183
N,,18908,94.54,0.5950000000000131,0.7949999999999875,-0.19999999999997442,0.03499999999998238,-0.31318659369628077,0.05480765389682855,0.3179460982568489,25.21008403361289
N,,19019,95.095,0.5549999999999926,0.5950000000000131,-0.040000000000020464,-0.19999999999997442,-0.0626373187392962,-0.31318659369628077,0.319388910530606,27.027027027027387
N,,19119,95.595,0.5,0.5549999999999926,-0.05499999999999261,-0.040000000000020464,-0.08612631326647666,-0.0626373187392962,0.10649495544730492,30.0
N,,19231,96.155,0.5600000000000023,0.5,0.060000000000002274,-0.05499999999999261,0.0939559781088998,-0.08612631326647666,0.12745770929714426,26.785714285714178
N,,19345,96.725,0.5699999999999932,0.5600000000000023,0.009999999999990905,0.060000000000002274,0.015659329684801798,0.0939559781088998,0.09525198385638682,26.315789473684525
N,,19453,97.265,0.5400000000000063,0.5699999999999932,-0.029999999999986926,0.009999999999990905,-0.04697798905442765,0.015659329684801798,0.049519148435481386,27.777777777777455
N,,19558,97.79,0.5250000000000057,0.5400000000000063,-0.015000000000000568,-0.029999999999986926,-0.02348899452722495,-0.04697798905442765,0.05252298848597562,28.57142857142826
N,,19663,98.315,0.5249999999999915,0.5250000000000057,-1.4210854715202004e-14,-0.015000000000000568,-2.2253245908837075e-14,-0.02348899452722495,0.02348899452722495,28.571428571429035
N,,19770,98.85,0.5349999999999966,0.5249999999999915,0.010000000000005116,-1.4210854715202004e-14,0.01565932968482405,-2.2253245908837075e-14,0.01565932968482405,28.037383177570273
N,,19880,99.4,0.5500000000000114,0.5349999999999966,0.01500000000001478,0.010000000000005116,0.023488994527247207,0.01565932968482405,0.028230258059023492,27.27272727272671
N,,19991,99.955,0.5549999999999926,0.5500000000000114,0.004999999999981242,0.01500000000001478,0.007829664842378646,0.023488994527247207,0.024759574217765326,27.027027027027387
N,,20100,100.5,0.5450000000000017,0.5549999999999926,-0.009999999999990905,0.004999999999981242,-0.015659329684801798,0.007829664842378646,0.017507662828638637,27.52293577981643
N,,20211,101.055,0.5550000000000068,0.5450000000000017,0.010000000000005116,-0.009999999999990905,0.01565932968482405,-0.015659329684801798,0.02214563641793404,27.027027027026694
N,,20320,101.6,0.5449999999999875,0.5550000000000068,-0.010000000000019327,0.010000000000005116,-0.015659329684846304,0.01565932968482405,0.022145636417965513,27.522935779817146
N,,20430,102.15,0.5500000000000114,0.5449999999999875,0.005000000000023874,-0.010000000000019327,0.007829664842445407,-0.015659329684846304,0.0175076628287083,27.27272727272671
